Census Tract,Community Reporting Area,Geometry,Latitude (generated),Longitude (generated),% Burdened,Households Burdened,Total Households
559,,,,,11%,45,410
562.01,,,,,37%,85,230
562.02,,,,,19%,115,590
565,,,,,38%,170,445
568,,,,,44%,270,615
571,,,,,18%,24,135
574,,,,,25%,104,415
577,,,,,18%,85,475
583,,,,,47%,210,445
586,,,,,27%,85,315
589,,,,,30%,120,395
590,,,,,52%,450,870
591,,,,,50%,230,460
649,,,,,24%,30,125
650,,,,,29%,95,325
651,,,,,21%,65,310
652,,,,,29%,205,695
653,,,,,31%,165,530
654,,,,,38%,270,710
655,,,,,27%,45,165
